technology,parameter,value,unit,source_basis,status,config_path
PV,installed_cost_eur_per_kwp,700,EUR/kWp,"2024 global utility-scale weighted-average installed cost (IRENA-style figures, ~$691-779/kWp)",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> pv.installed_cost_eur_per_kwp
PV,om_cost_fraction_per_year,0.015,fraction of capital/year,Standard O&M assumption (~1.5%/year),Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> pv.om_cost_fraction_per_year
PV,economic_lifetime_years,25,years,Typical PV module warranty/economic-life assumption,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> pv.economic_lifetime_years
Wind,installed_cost_eur_per_kw,1200,EUR/kW,"Between utility-scale onshore wind's global weighted average (~1,000 EUR/kW, IRENA) and smaller commercial-scale systems' higher per-kW cost, since this project's turbine range (200-2,000 kW) sits below utility wind-farm scale",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> wind.installed_cost_eur_per_kw
Wind,om_cost_fraction_per_year,0.025,fraction of capital/year,Standard O&M assumption (~2.5%/year),Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> wind.om_cost_fraction_per_year
Wind,economic_lifetime_years,20,years,Typical turbine design-life assumption,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> wind.economic_lifetime_years
Battery,installed_cost_eur_per_kwh,300,EUR/kWh,C&I/utility-scale LFP economies of scale vs. the residential-build figure (550 EUR/kWh) used earlier in this project -- not an official price quote,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> battery.installed_cost_eur_per_kwh
Battery,cost_sensitivity_eur_per_kwh,"[220, 300, 400]",EUR/kWh (list),"Documented alternative values for a future battery-price sensitivity sweep (not yet run, PROJECT_BRIEF.md limitations)",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> battery.cost_sensitivity_eur_per_kwh
Battery,economic_lifetime_years,10,years,Economic assumption -- replaced once within the 20-year project horizon,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> battery.economic_lifetime_years
Battery,project_lifetime_years,20,years,"Economic assumption, shared project horizon across all four technologies",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> battery.project_lifetime_years
Diesel,fuel_price_eur_per_l,0.9,EUR/L,"~7 CNY/L, China 2023-2024 average retail diesel price",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.fuel_price_eur_per_l
Diesel,installed_cost_eur_per_kw,650,EUR/kW,"Industrial-scale genset installed-cost range (~$675-1,000/kW)",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.installed_cost_eur_per_kw
Diesel,om_cost_fraction_per_year,0.03,fraction of capital/year,Standard genset O&M assumption (~3%/year),Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.om_cost_fraction_per_year
Diesel,economic_lifetime_years,15,years,Typical diesel genset design-life assumption,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.economic_lifetime_years
Diesel,project_lifetime_years,20,years,Matches battery/PV/wind project lifetime,Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.project_lifetime_years
Diesel,sizing_factor,1.25,x peak load kW,Matches the OptiCE course lecture material's own Diesel_rated_power convention exactly (rated_power_kw = sizing_factor * peak_load_kw),Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.sizing_factor
Diesel,fuel_curve_intercept_l_per_kwh_rated,0.08145,L/hr per kW rated (F0),"HOMER Energy's standard linear diesel generator fuel curve, widely-cited default",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.fuel_curve_intercept_l_per_kwh_rated
Diesel,fuel_curve_slope_l_per_kwh_output,0.246,L/hr per kW output (F1),"HOMER Energy's standard linear diesel generator fuel curve, widely-cited default",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> diesel.fuel_curve_slope_l_per_kwh_output
System-wide,real_discount_rate,0.05,fraction,"Standard economic assumption, applied uniformly across all four technologies",Documented modelling/economic assumption -- not an official price quote or manufacturer spec,config/jinan.yaml -> economics.real_discount_rate
